game,group
A Short Hike,indie
Abzu,indie
Alan Wake II,aaa
Bad North,indie
Blasphemous,indie
Celeste,indie
Control,aaa
Cyberpunk 2077,aaa
Death Stranding,aaa
Deep Rock Galactic,indie
Detroit Become Human,aaa
Don't Starve,indie
F1 2019,aaa
Faeria,indie
Fez,indie
Flinthook,indie
Gris,indie
Hades,indie
Heave Ho,indie
Hogwarts Legacy,aaa
Hollow Knight,indie
Inside,indie
Limbo,indie
Marvels Spider-Man,aaa
Minit,indie
Moonlighter,indie
My Friend Pedro,indie
Need for Speed Heat,aaa
Northgard,indie
Octahedron,indie
Overcooked!,indie
Party Hard!,indie
Red Dead Redemption 2,aaa
Resident Evil 2,aaa
Rui
